System,CrossDock_Family,Ca_Atoms_Align,RMSD_to_family_ref
3LVP , IGF1_R , 260 , 0.779
3LW0 , IGF1_R , 255 , 0.814
3D94 , IGF1_R , 239 , 0.974
2OJ9 , IGF1_R , 237 , 0.796
1UY6 , Hsp_90 , 208 , 0.000
1UY9 , Hsp_90 , 208 , 0.161
1UYG , Hsp_90 , 208 , 0.194
1UY8 , Hsp_90 , 208 , 0.195
1UY7 , Hsp_90 , 208 , 0.201
1UYC , Hsp_90 , 208 , 0.203
1UYF , Hsp_90 , 208 , 0.204
1UYD , Hsp_90 , 208 , 0.205
1UYE , Hsp_90 , 208 , 0.214
1UYH , Hsp_90 , 208 , 0.242
1UYK , Hsp_90 , 208 , 0.244
1UYI , Hsp_90 , 208 , 0.304
2BSM , Hsp_90 , 203 , 0.374
1JN4 , Ribonuclease_A , 124 , 0.000
1O0F , Ribonuclease_A , 123 , 0.285
1O0H , Ribonuclease_A , 123 , 0.304
1AFK , Ribonuclease_A , 124 , 0.308
1Z6S , Ribonuclease_A , 123 , 0.321
1QHC , Ribonuclease_A , 124 , 0.324
1O0N , Ribonuclease_A , 123 , 0.326
1O0M , Ribonuclease_A , 123 , 0.333
1W4Q , Ribonuclease_A , 123 , 0.336
1W4O , Ribonuclease_A , 123 , 0.359
1W4P , Ribonuclease_A , 123 , 0.373
1ROB , Ribonuclease_A , 123 , 0.447
1U1B , Ribonuclease_A , 123 , 0.498
4RSK , Ribonuclease_A , 122 , 0.666
1F4E , Thymidylate_Synthase , 264 , 0.000
1F4F , Thymidylate_Synthase , 258 , 0.556
1F4G , Thymidylate_Synthase , 258 , 0.567
1HVY , Thymidylate_Synthase , 241 , 0.706
1JMG , Thymidylate_Synthase , 244 , 0.755
1TSY , Thymidylate_Synthase , 243 , 0.757
1BP0 , Thymidylate_Synthase , 243 , 0.760
1NJE , Thymidylate_Synthase , 245 , 0.762
1JMI , Thymidylate_Synthase , 241 , 0.770
1JMF , Thymidylate_Synthase , 244 , 0.773
1NJA , Thymidylate_Synthase , 242 , 0.783
1NJD , Thymidylate_Synthase , 244 , 0.786
1SYN , Thymidylate_Synthase , 260 , 0.576
1TDB , Thymidylate_Synthase , 236 , 0.856
1RMZ , MMP , 159 , 0.000
3F17 , MMP , 158 , 0.383
3F18 , MMP , 158 , 0.429
1Y93 , MMP , 158 , 0.437
1ROS , MMP , 158 , 0.440
2OXW , MMP , 158 , 0.441
3F15 , MMP , 158 , 0.444
3F19 , MMP , 158 , 0.448
3F1A , MMP , 158 , 0.459
3EHX , MMP , 158 , 0.477
3F16 , MMP , 158 , 0.489
3EHY , MMP , 158 , 0.490
1GKC , MMP , 146 , 0.573
2USN , MMP , 148 , 0.646
1USN , MMP , 149 , 0.766
830C , MMP , 152 , 0.623
1LI6 , T4_Lysozyme , 162 , 0.000
181L , T4_Lysozyme , 162 , 0.171
182L , T4_Lysozyme , 162 , 0.218
183L , T4_Lysozyme , 161 , 0.283
184L , T4_Lysozyme , 161 , 0.279
185L , T4_Lysozyme , 162 , 0.228
186L , T4_Lysozyme , 162 , 0.171
187L , T4_Lysozyme , 162 , 0.179
188L , T4_Lysozyme , 161 , 0.278
1XEP , T4_Lysozyme , 160 , 0.367
2OTY , T4_Lysozyme , 160 , 0.378
2OTZ , T4_Lysozyme , 162 , 0.328
2OU0 , T4_Lysozyme , 162 , 0.281
1OYN , Phosphodiesterase , 334 , 0.000
1XON , Phosphodiesterase , 321 , 0.366
1XOR , Phosphodiesterase , 320 , 0.375
1XOQ , Phosphodiesterase , 324 , 0.403
1XOM , Phosphodiesterase , 324 , 0.434
1XLZ , Phosphodiesterase , 315 , 0.499
1XLX , Phosphodiesterase , 314 , 0.504
1XN0 , Phosphodiesterase , 315 , 0.519
1XM4 , Phosphodiesterase , 315 , 0.525
1XMU , Phosphodiesterase , 315 , 0.527
1XM6 , Phosphodiesterase , 318 , 0.541
1XOS , Phosphodiesterase , 316 , 0.544
1XMY , Phosphodiesterase , 317 , 0.546
1XOT , Phosphodiesterase , 314 , 0.557
1XP0 , Phosphodiesterase , 216 , 0.868
1XOZ , Phosphodiesterase , 216 , 0.933
1UDT , Phosphodiesterase , 198 , 0.889
1M17 , EGFR , 293 , 0.000
2ITO , EGFR , 270 , 0.527
2ITQ , EGFR , 278 , 0.441
2ITP , EGFR , 281 , 0.423
2ITY , EGFR , 271 , 0.490
2ITX , EGFR , 281 , 0.517
2ITU , EGFR , 271 , 0.590
2ITW , EGFR , 284 , 0.558
2EB3 , EGFR , 269 , 0.541
3BEL , EGFR , 188 , 0.546
2ITV , EGFR , 271 , 0.508
2ITT , EGFR , 272 , 0.434
1XKK , EGFR , 189 , 0.561
2J6M , EGFR , 283 , 0.480
2RGP , EGFR , 191 , 0.587
1ACJ , Acetylcholinesterase , 528 , 0.000
1E66 , Acetylcholinesterase , 528 , 0.320
2CKM , Acetylcholinesterase , 528 , 0.338
1H23 , Acetylcholinesterase , 528 , 0.339
1Q84 , Acetylcholinesterase , 505 , 0.704
1GPK , Acetylcholinesterase , 528 , 0.355
1GPN , Acetylcholinesterase , 527 , 0.358
1H22 , Acetylcholinesterase , 528 , 0.358
1VOT , Acetylcholinesterase , 527 , 0.345
1W76 , Acetylcholinesterase , 522 , 0.420
2ACK , Acetylcholinesterase , 527 , 0.366
1EVE , Acetylcholinesterase , 528 , 0.369
1ZGC , Acetylcholinesterase , 528 , 0.415
1UT6 , Acetylcholinesterase , 528 , 0.366
1W6R , Acetylcholinesterase , 528 , 0.363
1W4L , Acetylcholinesterase , 528 , 0.386
2CMF , Acetylcholinesterase , 518 , 0.526
1ODC , Acetylcholinesterase , 528 , 0.375
2HA2 , Acetylcholinesterase , 508 , 0.704
1J07 , Acetylcholinesterase , 506 , 0.707
1HW8 , HMG_CoA_Reductase , 814 , 0.000
1HWI , HMG_CoA_Reductase , 791 , 0.278
1HWL , HMG_CoA_Reductase , 800 , 0.312
1HWJ , HMG_CoA_Reductase , 799 , 0.320
1HWK , HMG_CoA_Reductase , 795 , 0.326
1HW9 , HMG_CoA_Reductase , 800 , 0.337
2Q1L , HMG_CoA_Reductase , 767 , 0.370
3CD7 , HMG_CoA_Reductase , 767 , 0.370
2Q6B , HMG_CoA_Reductase , 791 , 0.401
3BGL , HMG_CoA_Reductase , 800 , 0.431
3CCT , HMG_CoA_Reductase , 809 , 0.435
3CCZ , HMG_CoA_Reductase , 792 , 0.437
2R4F , HMG_CoA_Reductase , 793 , 0.445
3CCW , HMG_CoA_Reductase , 810 , 0.448
2Q6C , HMG_CoA_Reductase , 808 , 0.453
3CD0 , HMG_CoA_Reductase , 807 , 0.454
3CDA , HMG_CoA_Reductase , 801 , 0.455
3CD5 , HMG_CoA_Reductase , 804 , 0.459
3CDB , HMG_CoA_Reductase , 806 , 0.479
1FM9 , PPAR_Kinase , 288 , 0.000
3ET3 , PPAR_Kinase , 264 , 0.466
2Q6S , PPAR_Kinase , 231 , 0.502
3FEJ , PPAR_Kinase , 255 , 0.516
2Q61 , PPAR_Kinase , 248 , 0.519
2GTK , PPAR_Kinase , 254 , 0.532
2Q5S , PPAR_Kinase , 248 , 0.555
2Q6R , PPAR_Kinase , 228 , 0.557
3ET0 , PPAR_Kinase , 254 , 0.561
2HWR , PPAR_Kinase , 256 , 0.588
3PBA , PPAR_Kinase , 249 , 0.612
2HWQ , PPAR_Kinase , 245 , 0.621
2FVJ , PPAR_Kinase , 253 , 0.646
3FUR , PPAR_Kinase , 246 , 0.649
2Q5P , PPAR_Kinase , 249 , 0.687
3LMP , PPAR_Kinase , 264 , 0.697
3ET1 , PPAR_Kinase , 246 , 0.703
3FEI , PPAR_Kinase , 244 , 0.736
3ET2 , PPAR_Kinase , 247 , 0.852
2P54 , PPAR_Kinase , 241 , 0.691
2ZNP , PPAR_Kinase , 237 , 0.913
1BZC , Protein_Tyrosine_Phosphatase , 297 , 0.000
1C83 , Protein_Tyrosine_Phosphatase , 294 , 0.450
1C88 , Protein_Tyrosine_Phosphatase , 292 , 0.408
1C87 , Protein_Tyrosine_Phosphatase , 292 , 0.407
1C84 , Protein_Tyrosine_Phosphatase , 292 , 0.427
1C86 , Protein_Tyrosine_Phosphatase , 291 , 0.395
2BGE , Protein_Tyrosine_Phosphatase , 291 , 0.391
1BZJ , Protein_Tyrosine_Phosphatase , 291 , 0.388
1QXK , Protein_Tyrosine_Phosphatase , 280 , 0.482
1KAV , Protein_Tyrosine_Phosphatase , 289 , 0.367
1G7G , Protein_Tyrosine_Phosphatase , 292 , 0.373
1T49 , Protein_Tyrosine_Phosphatase , 268 , 0.516
1PYN , Protein_Tyrosine_Phosphatase , 272 , 0.532
1T48 , Protein_Tyrosine_Phosphatase , 270 , 0.566
1G7F , Protein_Tyrosine_Phosphatase , 286 , 0.491
1Q6S , Protein_Tyrosine_Phosphatase , 276 , 0.452
1Q6M , Protein_Tyrosine_Phosphatase , 267 , 0.428
1Q6T , Protein_Tyrosine_Phosphatase , 273 , 0.467
1Q6P , Protein_Tyrosine_Phosphatase , 273 , 0.492
2AZR , Protein_Tyrosine_Phosphatase , 291 , 0.371
1FPU , ABL_Kinase , 275 , 0.000
2E2B , ABL_Kinase , 259 , 0.384
3CS9 , ABL_Kinase , 257 , 0.414
1IEP , ABL_Kinase , 269 , 0.417
2HYY , ABL_Kinase , 258 , 0.464
2HZN , ABL_Kinase , 259 , 0.478
1M52 , ABL_Kinase , 233 , 0.524
3IK3 , ABL_Kinase , 250 , 0.535
3OY3 , ABL_Kinase , 255 , 0.540
3K5V , ABL_Kinase , 257 , 0.548
3OXZ , ABL_Kinase , 241 , 0.559
3KFA , ABL_Kinase , 253 , 0.562
2F4J , ABL_Kinase , 234 , 0.576
3KF4 , ABL_Kinase , 230 , 0.642
3QRI , ABL_Kinase , 246 , 0.650
2HZI , ABL_Kinase , 231 , 0.673
2GQG , ABL_Kinase , 233 , 0.690
2QOH , ABL_Kinase , 234 , 0.695
1OPK , ABL_Kinase , 232 , 0.707
3QRJ , ABL_Kinase , 242 , 0.707
2Z60 , ABL_Kinase , 234 , 0.713
3QRK , ABL_Kinase , 246 , 0.731
2HZ4 , ABL_Kinase , 226 , 0.809
2HZ0 , ABL_Kinase , 221 , 0.863
4TMN , Thermolysin , 316 , 0.000
1Z9G , Thermolysin , 316 , 0.101
2TMN , Thermolysin , 316 , 0.105
6TMN , Thermolysin , 316 , 0.105
5TMN , Thermolysin , 316 , 0.106
1TLP , Thermolysin , 316 , 0.119
1ZDP , Thermolysin , 316 , 0.126
1HYT , Thermolysin , 316 , 0.127
1KRO , Thermolysin , 316 , 0.143
1QF2 , Thermolysin , 316 , 0.145
1KS7 , Thermolysin , 316 , 0.147
1KTO , Thermolysin , 316 , 0.150
1KL6 , Thermolysin , 316 , 0.161
1OS0 , Thermolysin , 316 , 0.161
1PE8 , Thermolysin , 316 , 0.163
4TLN , Thermolysin , 316 , 0.167
1KJP , Thermolysin , 316 , 0.169
1KKK , Thermolysin , 316 , 0.169
1KJO , Thermolysin , 316 , 0.172
1KR6 , Thermolysin , 316 , 0.173
5TLN , Thermolysin , 316 , 0.177
1PE5 , Thermolysin , 316 , 0.178
1PE7 , Thermolysin , 316 , 0.185
1QF0 , Thermolysin , 316 , 0.200
1THL , Thermolysin , 316 , 0.200
1QF1 , Thermolysin , 316 , 0.204
1HEW , Lysozyme , 129 , 0.000
1BB5 , Lysozyme , 126 , 0.558
1BB6 , Lysozyme , 127 , 0.470
1BB7 , Lysozyme , 127 , 0.495
1LJN , Lysozyme , 129 , 0.499
1LMC , Lysozyme , 127 , 0.488
1LMO , Lysozyme , 127 , 0.488
1LMP , Lysozyme , 127 , 0.496
1LMQ , Lysozyme , 127 , 0.496
1LZB , Lysozyme , 129 , 0.177
1LZC , Lysozyme , 129 , 0.213
1LZE , Lysozyme , 129 , 0.224
1LZG , Lysozyme , 129 , 0.182
1LZY , Lysozyme , 129 , 0.490
1BJU , Beta_Trypsin , 223 , 0.000
1BJV , Beta_Trypsin , 223 , 0.158
1GHZ , Beta_Trypsin , 223 , 0.232
1GI4 , Beta_Trypsin , 223 , 0.344
1GI6 , Beta_Trypsin , 223 , 0.263
1GJ6 , Beta_Trypsin , 223 , 0.285
1O2H , Beta_Trypsin , 223 , 0.299
1O2I , Beta_Trypsin , 223 , 0.263
1O2J , Beta_Trypsin , 223 , 0.272
1O2K , Beta_Trypsin , 223 , 0.281
1O2N , Beta_Trypsin , 223 , 0.277
1O2O , Beta_Trypsin , 223 , 0.305
1O2Q , Beta_Trypsin , 223 , 0.286
1O2S , Beta_Trypsin , 223 , 0.268
1O2U , Beta_Trypsin , 223 , 0.283
1O2V , Beta_Trypsin , 223 , 0.281
1O2Z , Beta_Trypsin , 223 , 0.329
1O30 , Beta_Trypsin , 223 , 0.281
1O31 , Beta_Trypsin , 223 , 0.274
1O36 , Beta_Trypsin , 223 , 0.291
1O37 , Beta_Trypsin , 223 , 0.290
1O39 , Beta_Trypsin , 223 , 0.287
1O3B , Beta_Trypsin , 223 , 0.264
1O3D , Beta_Trypsin , 223 , 0.271
1O3E , Beta_Trypsin , 223 , 0.261
1O3F , Beta_Trypsin , 223 , 0.263
1O3G , Beta_Trypsin , 223 , 0.263
1O3H , Beta_Trypsin , 223 , 0.293
1O3I , Beta_Trypsin , 223 , 0.298
1C1B , HIV_Reverse_Transcriptase , 952 , 0.000
1JLA , HIV_Reverse_Transcriptase , 935 , 0.425
1RTH , HIV_Reverse_Transcriptase , 945 , 0.497
1JLB , HIV_Reverse_Transcriptase , 928 , 0.533
3DLE , HIV_Reverse_Transcriptase , 927 , 0.560
2OPS , HIV_Reverse_Transcriptase , 922 , 0.614
3DLG , HIV_Reverse_Transcriptase , 912 , 0.642
1RT1 , HIV_Reverse_Transcriptase , 922 , 0.656
1S1T , HIV_Reverse_Transcriptase , 932 , 0.684
1C1C , HIV_Reverse_Transcriptase , 932 , 0.691
1JLG , HIV_Reverse_Transcriptase , 917 , 0.698
3DOL , HIV_Reverse_Transcriptase , 910 , 0.719
1RT2 , HIV_Reverse_Transcriptase , 915 , 0.720
1JLF , HIV_Reverse_Transcriptase , 916 , 0.781
1JLC , HIV_Reverse_Transcriptase , 895 , 0.873
1VRT , HIV_Reverse_Transcriptase , 691 , 0.898
2HND , HIV_Reverse_Transcriptase , 673 , 0.922
2HNY , HIV_Reverse_Transcriptase , 666 , 0.922
1VRU , HIV_Reverse_Transcriptase , 692 , 0.924
2RKI , HIV_Reverse_Transcriptase , 612 , 0.954
3DYA , HIV_Reverse_Transcriptase , 607 , 0.957
1IKW , HIV_Reverse_Transcriptase , 703 , 0.982
1JKH , HIV_Reverse_Transcriptase , 826 , 1.002
2RF2 , HIV_Reverse_Transcriptase , 697 , 1.068
2ZD1 , HIV_Reverse_Transcriptase , 680 , 1.076
2BE2 , HIV_Reverse_Transcriptase , 731 , 1.087
1EP4 , HIV_Reverse_Transcriptase , 561 , 1.094
1BN1 , Carbonic_Anhydrase , 257 , 0.000
1BN4 , Carbonic_Anhydrase , 257 , 0.067
1BN3 , Carbonic_Anhydrase , 257 , 0.115
1BNN , Carbonic_Anhydrase , 257 , 0.125
1BNV , Carbonic_Anhydrase , 257 , 0.149
1BNT , Carbonic_Anhydrase , 256 , 0.171
1G53 , Carbonic_Anhydrase , 257 , 0.174
1G48 , Carbonic_Anhydrase , 257 , 0.183
1BNU , Carbonic_Anhydrase , 255 , 0.189
1BNW , Carbonic_Anhydrase , 256 , 0.200
1CNW , Carbonic_Anhydrase , 256 , 0.200
1IF7 , Carbonic_Anhydrase , 257 , 0.201
1G52 , Carbonic_Anhydrase , 257 , 0.202
1YDB , Carbonic_Anhydrase , 255 , 0.208
1CIL , Carbonic_Anhydrase , 256 , 0.210
1OKL , Carbonic_Anhydrase , 255 , 0.222
1CNY , Carbonic_Anhydrase , 256 , 0.226
1CNX , Carbonic_Anhydrase , 256 , 0.228
1CIN , Carbonic_Anhydrase , 256 , 0.232
1CIM , Carbonic_Anhydrase , 256 , 0.236
1I90 , Carbonic_Anhydrase , 257 , 0.236
2H4N , Carbonic_Anhydrase , 257 , 0.241
1BCD , Carbonic_Anhydrase , 257 , 0.242
1OKN , Carbonic_Anhydrase , 256 , 0.248
1I91 , Carbonic_Anhydrase , 257 , 0.250
1IF8 , Carbonic_Anhydrase , 257 , 0.263
1OQ5 , Carbonic_Anhydrase , 256 , 0.285
1I8Z , Carbonic_Anhydrase , 257 , 0.292
1JD0 , Carbonic_Anhydrase , 204 , 0.869
1AZM , Carbonic_Anhydrase , 243 , 0.864
1JCZ , Carbonic_Anhydrase , 206 , 0.881
2VES , LpxC , 294 , 0.000
3NZK , LpxC , 260 , 0.689
3P3C , LpxC , 206 , 0.917
3P3G , LpxC , 274 , 0.856
3PS1 , LpxC , 278 , 0.866
3PS2 , LpxC , 274 , 0.885
3PS3 , LpxC , 275 , 0.851
3U1Y , LpxC , 275 , 0.639
3UHM , LpxC , 263 , 0.561
4FW3 , LpxC , 285 , 0.656
4FW4 , LpxC , 282 , 0.628
4FW6 , LpxC , 278 , 0.576
4IS9 , LpxC , 264 , 0.811
4ISA , LpxC , 270 , 0.869
4J3D , LpxC , 278 , 0.723
4LCF , LpxC , 291 , 0.596
4MQY , LpxC , 277 , 0.855
4OKG , LpxC , 276 , 0.735
5DRO , LpxC , 203 , 0.922
5DRQ , LpxC , 292 , 0.606
5DRR , LpxC , 293 , 0.613
5N8C , LpxC , 278 , 0.539
5U39 , LpxC , 267 , 0.572
5U3B , LpxC , 277 , 0.693
5UPG , LpxC , 281 , 0.684
5VWM , LpxC , 283 , 0.682
6CAX , LpxC , 281 , 0.665
6DUI , LpxC , 273 , 0.633
6IH0 , LpxC , 205 , 0.890
6MO4 , LpxC , 269 , 0.641
6MOD , LpxC , 271 , 0.635
6MOO , LpxC , 273 , 0.641
4OZE , LpxC , 210 , 0.924
1DB1 , Vitamin_D_Nuclear_Receptor , 250 , 0.000
1TXI , Vitamin_D_Nuclear_Receptor , 250 , 0.071
1S19 , Vitamin_D_Nuclear_Receptor , 250 , 0.094
1S0Z , Vitamin_D_Nuclear_Receptor , 250 , 0.115
2HB8 , Vitamin_D_Nuclear_Receptor , 250 , 0.189
2HB7 , Vitamin_D_Nuclear_Receptor , 250 , 0.223
3A3Z , Vitamin_D_Nuclear_Receptor , 250 , 0.226
1IE8 , Vitamin_D_Nuclear_Receptor , 250 , 0.227
3AFR , Vitamin_D_Nuclear_Receptor , 229 , 0.432
2HAS , Vitamin_D_Nuclear_Receptor , 246 , 0.238
3CS4 , Vitamin_D_Nuclear_Receptor , 250 , 0.228
1IE9 , Vitamin_D_Nuclear_Receptor , 250 , 0.244
3A2I , Vitamin_D_Nuclear_Receptor , 247 , 0.259
2HAR , Vitamin_D_Nuclear_Receptor , 246 , 0.264
3A40 , Vitamin_D_Nuclear_Receptor , 250 , 0.259
2HAM , Vitamin_D_Nuclear_Receptor , 246 , 0.277
3A2J , Vitamin_D_Nuclear_Receptor , 247 , 0.280
1RK3 , Vitamin_D_Nuclear_Receptor , 231 , 0.411
1RKG , Vitamin_D_Nuclear_Receptor , 231 , 0.423
2ZLC , Vitamin_D_Nuclear_Receptor , 228 , 0.429
2ZL9 , Vitamin_D_Nuclear_Receptor , 229 , 0.431
3A78 , Vitamin_D_Nuclear_Receptor , 250 , 0.271
1RKH , Vitamin_D_Nuclear_Receptor , 231 , 0.439
2ZLA , Vitamin_D_Nuclear_Receptor , 228 , 0.444
2O4R , Vitamin_D_Nuclear_Receptor , 232 , 0.456
3A2H , Vitamin_D_Nuclear_Receptor , 230 , 0.457
1RJK , Vitamin_D_Nuclear_Receptor , 232 , 0.464
2ZMJ , Vitamin_D_Nuclear_Receptor , 226 , 0.470
2ZMH , Vitamin_D_Nuclear_Receptor , 229 , 0.476
2ZMI , Vitamin_D_Nuclear_Receptor , 231 , 0.487
2ZXN , Vitamin_D_Nuclear_Receptor , 228 , 0.492
2ZFX , Vitamin_D_Nuclear_Receptor , 230 , 0.508
2ZXM , Vitamin_D_Nuclear_Receptor , 229 , 0.519
2HBH , Vitamin_D_Nuclear_Receptor , 225 , 0.547
2HC4 , Vitamin_D_Nuclear_Receptor , 227 , 0.550
3DR1 , Vitamin_D_Nuclear_Receptor , 226 , 0.574
3CS6 , Vitamin_D_Nuclear_Receptor , 250 , 0.238
2HCD , Vitamin_D_Nuclear_Receptor , 227 , 0.597
1KTS , Thrombin , 252 , 0.000
1KTT , Thrombin , 252 , 0.263
1D3D , Thrombin , 250 , 0.291
1Z71 , Thrombin , 250 , 0.296
1NM6 , Thrombin , 249 , 0.303
1VZQ , Thrombin , 250 , 0.305
1OYT , Thrombin , 250 , 0.310
1SL3 , Thrombin , 250 , 0.311
1D3P , Thrombin , 250 , 0.313
1ZRB , Thrombin , 249 , 0.315
1T4V , Thrombin , 249 , 0.317
1SB1 , Thrombin , 250 , 0.320
1EB1 , Thrombin , 250 , 0.337
1D6W , Thrombin , 250 , 0.338
1MU8 , Thrombin , 249 , 0.339
1MUE , Thrombin , 250 , 0.339
1MU6 , Thrombin , 250 , 0.344
1GHV , Thrombin , 249 , 0.346
1K22 , Thrombin , 251 , 0.350
1GHW , Thrombin , 249 , 0.352
1K21 , Thrombin , 249 , 0.355
1O5G , Thrombin , 249 , 0.366
1O0D , Thrombin , 249 , 0.370
1D4P , Thrombin , 250 , 0.373
1NT1 , Thrombin , 250 , 0.374
1O2G , Thrombin , 249 , 0.374
1C5O , Thrombin , 250 , 0.378
1TA2 , Thrombin , 250 , 0.381
1BA8 , Thrombin , 252 , 0.381
1TA6 , Thrombin , 250 , 0.387
1C5N , Thrombin , 250 , 0.388
1C4U , Thrombin , 252 , 0.395
1D9I , Thrombin , 251 , 0.400
1NZQ , Thrombin , 250 , 0.402
1C4V , Thrombin , 252 , 0.425
8KME , Thrombin , 250 , 0.430
1UVT , Thrombin , 246 , 0.484
1JWT , Thrombin , 251 , 0.502
1ETT , Thrombin , 247 , 0.559
1YPE , Thrombin , 249 , 0.302
1Z6E , Coagulation_Factor_Xa , 286 , 0.000
2P3U , Coagulation_Factor_Xa , 233 , 0.215
1V3X , Coagulation_Factor_Xa , 285 , 0.233
1LPZ , Coagulation_Factor_Xa , 232 , 0.235
2UWL , Coagulation_Factor_Xa , 283 , 0.252
1LPG , Coagulation_Factor_Xa , 232 , 0.262
1F0R , Coagulation_Factor_Xa , 283 , 0.286
1MQ5 , Coagulation_Factor_Xa , 284 , 0.271
1NFY , Coagulation_Factor_Xa , 286 , 0.272
2BQ7 , Coagulation_Factor_Xa , 232 , 0.272
1LPK , Coagulation_Factor_Xa , 232 , 0.276
2J94 , Coagulation_Factor_Xa , 283 , 0.279
1NFX , Coagulation_Factor_Xa , 286 , 0.283
1F0S , Coagulation_Factor_Xa , 285 , 0.306
1NFW , Coagulation_Factor_Xa , 285 , 0.288
2P3T , Coagulation_Factor_Xa , 231 , 0.290
2FZZ , Coagulation_Factor_Xa , 285 , 0.301
2CJI , Coagulation_Factor_Xa , 285 , 0.305
1MQ6 , Coagulation_Factor_Xa , 283 , 0.307
1NFU , Coagulation_Factor_Xa , 285 , 0.307
1EZQ , Coagulation_Factor_Xa , 284 , 0.313
1KSN , Coagulation_Factor_Xa , 286 , 0.324
2P93 , Coagulation_Factor_Xa , 282 , 0.330
2J95 , Coagulation_Factor_Xa , 285 , 0.337
2J38 , Coagulation_Factor_Xa , 284 , 0.345
2UWO , Coagulation_Factor_Xa , 280 , 0.351
2J2U , Coagulation_Factor_Xa , 278 , 0.369
2PR3 , Coagulation_Factor_Xa , 284 , 0.373
2Q1J , Coagulation_Factor_Xa , 284 , 0.375
2G00 , Coagulation_Factor_Xa , 285 , 0.382
2P16 , Coagulation_Factor_Xa , 284 , 0.382
1FJS , Coagulation_Factor_Xa , 285 , 0.393
2J34 , Coagulation_Factor_Xa , 286 , 0.405
2P95 , Coagulation_Factor_Xa , 284 , 0.425
2P94 , Coagulation_Factor_Xa , 284 , 0.431
1XKA , Coagulation_Factor_Xa , 232 , 0.434
1G2L , Coagulation_Factor_Xa , 283 , 0.459
2RA0 , Coagulation_Factor_Xa , 282 , 0.460
1KYE , Coagulation_Factor_Xa , 285 , 0.467
1XKB , Coagulation_Factor_Xa , 232 , 0.505
2BOK , Coagulation_Factor_Xa , 269 , 0.553
3KL6 , Coagulation_Factor_Xa , 232 , 0.503
2W26 , Coagulation_Factor_Xa , 233 , 0.241
1A52 , Estrogen_Receptor , 240 , 0.000
2I0J , Estrogen_Receptor , 201 , 0.384
1UOM , Estrogen_Receptor , 203 , 0.398
3ERD , Estrogen_Receptor , 217 , 0.410
1X7E , Estrogen_Receptor , 212 , 0.420
2QE4 , Estrogen_Receptor , 206 , 0.424
1SJ0 , Estrogen_Receptor , 208 , 0.424
2R6W , Estrogen_Receptor , 201 , 0.427
1ERE , Estrogen_Receptor , 216 , 0.434
1GWQ , Estrogen_Receptor , 220 , 0.442
1X7R , Estrogen_Receptor , 218 , 0.448
3DT3 , Estrogen_Receptor , 208 , 0.443
2QGW , Estrogen_Receptor , 221 , 0.457
2R6Y , Estrogen_Receptor , 202 , 0.453
2QA6 , Estrogen_Receptor , 220 , 0.456
1YIN , Estrogen_Receptor , 206 , 0.459
2QXM , Estrogen_Receptor , 220 , 0.470
1QKT , Estrogen_Receptor , 213 , 0.472
1R5K , Estrogen_Receptor , 209 , 0.474
2QGT , Estrogen_Receptor , 219 , 0.476
1GWR , Estrogen_Receptor , 218 , 0.477
3ERT , Estrogen_Receptor , 205 , 0.534
1QKU , Estrogen_Receptor , 223 , 0.552
