System,Molecular_Weight,DOCK_Rotatable_Bonds,Formal_Charge,HBond_Acceptors,HBond_Donors,Stereocenters,cLogP,TPSA,SA_Score,QED,ESOL,num_of_PAINS,SMILES
1A9U , 377.442 , 3 , -0.00499901 , 6 , 1 , 1 , 4.6822 , 58.64 , 2.8445 , 0.561208 , -5.70981 , 0 , C[S@](=O)c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1
1AAQ , 578.729 , 30 , 0.995 , 12 , 8 , 6 , -0.5553 , 190.57 , 4.166 , 0.143706 , -3.10977 , 0 , COC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CC[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](C)NC(=O)[C@H](C)[NH3+])C(C)C)C(C)C
1ABE , 150.131 , 4 , 0.00199997 , 5 , 4 , 4 , -2.5823 , 90.15 , 3.80318 , 0.305214 , 1.14087 , 0 , O[C@H]1CO[C@@H](O)[C@H](O)[C@H]1O
1ABF , 164.158 , 5 , -0.000998974 , 5 , 4 , 5 , -2.1938 , 90.15 , 3.71691 , 0.327249 , 0.76383 , 0 , C[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O
1ACJ , 198.268 , 1 , -0.000999987 , 2 , 2 , 0 , 2.6958 , 38.91 , 2.01472 , 0.706488 , -3.07794 , 0 , Nc1c2c(nc3ccccc13)CCCC2
1ACM , 251.089 , 7 , -4.002 , 9 , 1 , 1 , -6.7954 , 178.54 , 5.12891 , 0.46102 , 3.63459 , 0 , O=C([O-])C[C@H](NC(=O)C[P]([O-])([O-])[O-])C(=O)[O-]
1ADD , 266.257 , 6 , 0.00200006 , 8 , 5 , 4 , -1.375 , 126.65 , 3.59587 , 0.534212 , -0.495512 , 0 , Nc1ccnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
1AFK , 502.144 , 10 , -5 , 18 , 3 , 4 , -7.9996 , 311.25 , 5.52255 , 0.331224 , 2.88706 , 0 , Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P]([O-])([O-])O[P]([O-])([O-])[O-])[C@@H](O[P]([O-])([O-])[O-])[C@H]1O
1AGM , 646.62 , 23 , 1.002 , 19 , 15 , 19 , -9.5907 , 325.75 , 6.01147 , 0.108563 , 3.11912 , 0 , C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1[NH2+][C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O
1AGW , 333.39 , 4 , 0.00299992 , 5 , 1 , 0 , 2.4577 , 52.65 , 2.34283 , 0.692863 , -3.77331 , 1 , O=CN1CCN(c2ccc(/C=C3\C(=O)Nc4ccccc43)cc2)CC1
1AI5 , 180.14 , 2 , -1 , 5 , 0 , 0 , -0.2538 , 92.15 , 4.34973 , 0.599414 , -0.764405 , 0 , O=C([O-])Cc1cccc([N+2]([O-])[O-])c1
1AID , 453.064 , 7 , 0.993 , 6 , 2 , 0 , 4.4586 , 24.67 , 3.8166 , 0.675953 , -6.03615 , 0 , O[C@]1(c2ccc(Cl)cc2)CC[N@H+](CCCC2(c3ccc(F)cc3)SCCS2)CC1
1AJV , 574.697 , 12 , -2.98023e-08 , 9 , 2 , 4 , 3.8662 , 99.54 , 3.59046 , 0.300918 , -6.38312 , 0 , O=S1(=O)N(Cc2ccccc2)[C@H](COc2ccccc2)[C@H](O)[C@@H](O)[C@@H](COc2ccccc2)N1Cc1ccccc1
1AZM , 221.241 , 4 , -1 , 9 , 2 , 0 , 0.46277 , 112.87 , 4.03121 , 0.557847 , -1.57117 , 0 , CC(=O)Nc1nnc([S+](=N)(=O)=O)s1
1B8O , 267.265 , 5 , 1.001 , 8 , 7 , 4 , -3.048 , 138.84 , 5.22417 , 0.344401 , 0.738642 , 0 , O=c1[nH]cnc2c([C@@H]3[NH2+][C@H](CO)[C@@H](O)[C@H]3O)c[nH]c12
1B9S , 291.327 , 10 , -0.998 , 6 , 2 , 0 , 1.3832 , 98.33 , 2.53696 , 0.827381 , -2.69106 , 0 , CCC(CC)C(=O)Nc1cc(C(=O)[O-])ccc1NC(C)=O
1B9T , 322.321 , 8 , -0.00200009 , 9 , 7 , 0 , -3.614 , 164.54 , 3.84854 , 0.279144 , 0.808552 , 0 , NC(=[NH2+])Nc1cc(C(=O)[O-])ccc1N1C(=O)CCC1(CO)CO
1B9V , 349.407 , 12 , -0.997998 , 7 , 3 , 0 , 0.5008 , 112.93 , 3.37178 , 0.634112 , -2.41059 , 0 , CCC(CC)Nc1cc(C(=O)[O-])ccc1N1C(=O)CCC1(CO)CO
1BA8 , 467.569 , 14 , 0.998 , 12 , 7 , 2 , -2.7757 , 176.29 , 3.77829 , 0.0968208 , -0.744494 , 0 , NC(=[NH2+])NCCC[C@@H](C=O)NC(=O)CN1CCC[C@H](NS(=O)(=O)Cc2ccccc2)C1=O
1BAP , 150.131 , 4 , 0.00199997 , 5 , 4 , 4 , -2.5823 , 90.15 , 3.80318 , 0.305214 , 1.14087 , 0 , O[C@H]1CO[C@@H](O)[C@H](O)[C@H]1O
1BB5 , 627.6 , 21 , -8.9407e-08 , 19 , 11 , 15 , -7.1416 , 295.29 , 5.05975 , 0.112639 , 1.4317 , 0 , CC(=O)N[C@H]1[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](CO)O[C@@H](O)[C@H](NC(C)=O)[C@H]3O)[C@H](NC(C)=O)[C@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O
1BB6 , 785.756 , 22 , 0.0039999 , 21 , 10 , 15 , -4.64008 , 314.5 , 5.36928 , 0.0949854 , -1.46057 , 0 , CC(=O)N[C@H]1[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](CO)O[C@H](Oc4ccc5c(C)cc(=O)oc5c4)[C@H](NC(C)=O)[C@H]3O)[C@H](NC(C)=O)[C@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O
1BB7 , 582.561 , 15 , -0.00599906 , 15 , 7 , 10 , -2.60808 , 226.48 , 4.60742 , 0.166072 , -1.64021 , 0 , CC(=O)N[C@H]1[C@H](O[C@@H]2[C@@H](CO)O[C@@H](Oc3ccc4c(C)cc(=O)oc4c3)[C@H](NC(C)=O)[C@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O
1BCD , 148.086 , 2 , -0.998999 , 7 , 1 , 0 , 0.8882 , 57.94 , 3.53514 , 0.502741 , -1.43024 , 0 , [NH-]S(=O)(=O)C(F)(F)F
1BDQ , 534.699 , 22 , -0.00100601 , 8 , 4 , 4 , 4.9689 , 116.34 , 3.73631 , 0.262525 , -6.93005 , 0 , CC(C)[C@H](NC(=O)[C@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)c1ncc[nH]1
1BDR , 534.699 , 22 , -0.00100598 , 8 , 4 , 4 , 4.9689 , 116.34 , 3.73631 , 0.262525 , -6.93005 , 0 , CC(C)[C@H](NC(=O)[C@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)c1ncc[nH]1
1BIR , 361.208 , 7 , -2.001 , 13 , 5 , 4 , -4.9039 , 217.69 , 4.5947 , 0.390655 , 1.50537 , 0 , Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O[P]([O-])([O-])[O-])c(=O)[nH]1
1BJI , 389.451 , 12 , 2.32458e-06 , 8 , 4 , 3 , -1.3845 , 126.41 , 4.21618 , 0.56857 , -1.27534 , 0 , CCCN(CCc1ccccc1)C(=O)[C@@H]1OC(C(=O)[O-])=C[C@H]([NH3+])[C@H]1NC(C)=O
1BJU , 289.744 , 7 , 1.001 , 6 , 6 , 0 , 2.73899 , 93.17 , 1.88632 , 0.699224 , -3.69753 , 0 , N[C](N)c1ccc(NC(=O)Nc2ccc(Cl)cc2)cc1
1BJV , 347.397 , 9 , 1.001 , 6 , 6 , 0 , 3.87789 , 102.4 , 1.92613 , 0.56303 , -4.91171 , 0 , N[C](N)c1ccc(NC(=O)Nc2ccc(Oc3ccccc3)cc2)cc1
1BL7 , 339.396 , 4 , 0.996 , 7 , 4 , 0 , 1.6267 , 86.23 , 3.34772 , 0.759705 , -3.1967 , 0 , Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CC[NH2+]CC2)n1
1BN1 , 345.444 , 7 , -0.998999 , 9 , 2 , 0 , 2.50129 , 104.16 , 3.15389 , 0.798622 , -3.88172 , 0 , Cc1ccc(CNS(=O)(=O)c2ccc([S+](=N)(=O)=O)s2)cc1
1BN3 , 371.439 , 5 , -1 , 10 , 1 , 0 , 2.90257 , 104.6 , 3.98483 , 0.838058 , -4.3564 , 0 , COc1cccc(N2C=Cc3cc([S+](=N)(=O)=O)sc3S2(=O)=O)c1
1BN4 , 361.444 , 8 , -1.001 , 10 , 2 , 0 , 2.20147 , 113.39 , 3.09004 , 0.768235 , -3.76079 , 0 , COc1ccc(CNS(=O)(=O)c2ccc([S+](=N)(=O)=O)s2)cc1
1BNN , 373.455 , 5 , -0.999001 , 10 , 1 , 0 , 2.47437 , 104.6 , 3.81621 , 0.834974 , -4.05214 , 0 , COc1cccc(N2CCc3cc([S+](=N)(=O)=O)sc3S2(=O)=O)c1
1BNT , 389.454 , 6 , -1.002 , 11 , 2 , 1 , 1.96527 , 124.83 , 4.21211 , 0.779543 , -3.7796 , 0 , COc1ccc(N2C[C@H](O)c3cc([S+](=N)(=O)=O)sc3S2(=O)=O)cc1
1BNU , 379.483 , 5 , -1.004 , 11 , 2 , 1 , 2.01377 , 115.6 , 4.56001 , 0.794118 , -3.75125 , 0 , N=[S+](=O)(=O)c1cc2c(s1)S(=O)(=O)N(Cc1cccs1)C[C@@H]2O
1BNV , 403.504 , 6 , -0.000999779 , 11 , 3 , 1 , 1.16617 , 121.21 , 4.80699 , 0.744664 , -3.2757 , 0 , C[NH2+][C@@H]1CN(c2cccc(OC)c2)S(=O)(=O)c2sc([S+](=N)(=O)=O)cc21
1BNW , 337.446 , 6 , -1.002 , 10 , 2 , 0 , 2.25437 , 104.16 , 3.52953 , 0.802662 , -3.64782 , 0 , N=[S+](=O)(=O)c1ccc(S(=O)(=O)NCc2cccs2)s1
1BP0 , 306.169 , 5 , -1.999 , 10 , 2 , 3 , -4.0399 , 162.73 , 4.40564 , 0.541279 , 1.22504 , 0 , O=c1ccn([C@H]2C[C@H](O)[C@@H](CO[P]([O-])([O-])[O-])O2)c(=O)[nH]1
1BR5 , 253.218 , 7 , 0.00199997 , 9 , 6 , 2 , -2.3181 , 158.24 , 3.68907 , 0.415507 , 0.292405 , 0 , Nc1nc(=O)c2nc([C@@H](O)[C@H](O)CO)cnc2[nH]1
1BYG , 467.547 , 4 , 1.002 , 7 , 3 , 4 , 3.3278 , 74.03 , 5.34933 , 0.418055 , -5.30452 , 0 , C[NH2+][C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
1BZC , 427.278 , 10 , -2.999 , 11 , 3 , 1 , -2.1536 , 181.5 , 3.7596 , 0.456073 , -0.95456 , 0 , NC(=O)[C@H](CCC(=O)[O-])NC(=O)c1ccc2cc(C(F)(F)[P]([O-])([O-])[O-])ccc2c1
1BZJ , 299.147 , 3 , -3 , 7 , 0 , 0 , -0.9039 , 109.31 , 3.50283 , 0.684037 , -1.05786 , 0 , O=C([O-])c1ccc2cc(C(F)(F)[P]([O-])([O-])[O-])ccc2c1
1C1B , 330.427 , 11 , -0.0010009 , 5 , 1 , 0 , 2.86164 , 64.09 , 2.60944 , 0.884965 , -4.04366 , 0 , CCOCn1c(Cc2cc(C)cc(C)c2)c(C(C)C)c(=O)[nH]c1=O
1C1C , 326.46 , 9 , -0.00100095 , 6 , 1 , 0 , 3.0788 , 64.09 , 2.88243 , 0.817144 , -4.1801 , 0 , CCOCn1c(SC2CCCCC2)c(C(C)C)c(=O)[nH]c1=O
1C1R , 291.336 , 5 , 1.002 , 6 , 6 , 0 , 0.4944 , 108.97 , 2.79775 , 0.325441 , -2.04137 , 0 , NC(=[NH2+])c1ccc2nc(Cc3nc4ccccc4[nH]3)[nH]c2c1
1C2T , 479.426 , 12 , -3.002 , 12 , 4 , 2 , -3.0401 , 221.26 , 4.08784 , 0.275712 , -0.632551 , 0 , Nc1nc2ccc(C[C@H](C(=O)[O-])c3ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc3)cc2c(=O)[nH]1
1C4U , 582.498 , 11 , 1.003 , 12 , 5 , 1 , -0.8023 , 163.78 , 3.88488 , 0.211159 , -2.98057 , 0 , NC(=[NH2+])[C@H]1CC[C@H](CNC(=O)[C@@H]2C=CCn3c(=O)n(CCS(=O)(=O)c4ccc(Br)cc4)c(=O)n32)CC1
1C4V , 529.662 , 11 , 0.994 , 9 , 5 , 1 , 1.1835 , 129.64 , 3.81547 , 0.230029 , -4.10302 , 0 , CC1=C[C@@H](C(=O)NC[C@H]2CC[C@@H](C(N)=[NH2+])CC2)n2c(=O)n(CC(c3ccccc3)c3ccccc3)c(=O)n2C1
1C5C , 343.338 , 4 , -2 , 10 , 1 , 0 , 1.897 , 131.52 , 4.14434 , 0.837816 , -3.42556 , 0 , CC(=O)Nc1ccc2c([S+](=O)(=O)=O)cccc2c1[S+](=O)(=O)=O
1C5N , 303.146 , 3 , 0.999 , 3 , 4 , 0 , 2.26089 , 52.04 , 2.90744 , 0.780175 , -3.44996 , 0 , N[C](N)c1cc2c(I)cccc2s1
1C5O , 121.162 , 3 , 0.999 , 2 , 4 , 0 , 0.44159 , 52.04 , 1.99464 , 0.556232 , -0.911573 , 0 , N[C](N)c1ccccc1
1C5P , 121.162 , 3 , 0.999 , 2 , 4 , 0 , 0.44159 , 52.04 , 1.99464 , 0.556232 , -0.911573 , 0 , N[C](N)c1ccccc1
1C5Q , 303.146 , 3 , 0.999 , 3 , 4 , 0 , 2.26089 , 52.04 , 2.90744 , 0.780175 , -3.44996 , 0 , N[C](N)c1cc2c(I)cccc2s1
1C5S , 177.25 , 3 , 0.999 , 3 , 4 , 0 , 1.65629 , 52.04 , 2.39312 , 0.683446 , -2.17161 , 0 , N[C](N)c1cc2ccccc2s1
1C5T , 178.238 , 3 , 1.001 , 4 , 4 , 0 , 1.05129 , 64.93 , 2.81945 , 0.68516 , -1.72943 , 0 , N[C](N)c1cc2cccnc2s1
1C83 , 246.179 , 4 , -2 , 7 , 2 , 0 , -1.7802 , 125.15 , 3.32476 , 0.60764 , -0.0634317 , 0 , O=C([O-])C(=O)Nc1cc2[nH]ccc2cc1C(=O)[O-]
1C84 , 257.202 , 4 , -1.999 , 6 , 1 , 0 , -1.1083 , 109.36 , 2.86683 , 0.688147 , -0.633421 , 0 , O=C([O-])C(=O)Nc1cc2ccccc2cc1C(=O)[O-]
1C86 , 269.235 , 4 , -2.001 , 8 , 1 , 0 , -2.1273 , 118.59 , 3.58289 , 0.617562 , 0.0415136 , 0 , O=C([O-])C(=O)Nc1sc2c(c1C(=O)[O-])CCOC2
1C87 , 269.235 , 4 , -2.001 , 8 , 1 , 0 , -2.1273 , 118.59 , 3.58289 , 0.617562 , 0.0415136 , 0 , O=C([O-])C(=O)Nc1sc2c(c1C(=O)[O-])CCOC2
1C88 , 269.258 , 4 , -0.998 , 8 , 3 , 0 , -3.5805 , 125.97 , 4.61089 , 0.53849 , 1.11916 , 0 , O=C([O-])C(=O)Nc1sc2c(c1C(=O)[O-])CC[NH2+]C2
1C8K , 402.854 , 5 , 0.997999 , 7 , 4 , 3 , 1.8875 , 95.34 , 4.39062 , 0.526829 , -3.81145 , 0 , C[N@H+]1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1
1C8V , 258.235 , 7 , -1.999 , 5 , 1 , 0 , 0.2316 , 89.41 , 3.60479 , 0.465499 , -1.62788 , 0 , [O-][P]([O-])([O-])/C=C/CCSc1ccccc1O
1C9D , 278.241 , 7 , -2 , 6 , 1 , 0 , 0.2471 , 89.41 , 3.39267 , 0.45917 , -1.76668 , 0 , [O-][P]([O-])([O-])CCCCSc1cc(F)ccc1O
1CBX , 206.198 , 5 , -2 , 4 , 0 , 1 , -1.2648 , 80.26 , 3.36737 , 0.601938 , -0.175642 , 0 , O=C([O-])C[C@@H](Cc1ccccc1)C(=O)[O-]
1CE5 , 121.162 , 3 , 0.999 , 2 , 4 , 0 , 0.44159 , 52.04 , 1.99464 , 0.556232 , -0.911573 , 0 , N[C](N)c1ccccc1
1CET , 320.885 , 11 , 0.999999 , 4 , 2 , 1 , 3.3935 , 29.36 , 3.7402 , 0.780429 , -4.36974 , 0 , CC[NH+](CC)CCC[C@@H](C)Nc1ccnc2cc(Cl)ccc12
1CIL , 324.446 , 6 , -0.00100224 , 9 , 3 , 2 , 0.6793 , 108.69 , 5.41041 , 0.866447 , -2.40056 , 0 , CC[NH2+][C@H]1C[C@H](C)S(=O)(=O)c2sc(S([NH-])(=O)=O)cc21
1CIM , 296.392 , 4 , -1.19209e-07 , 9 , 4 , 2 , 0.3379 , 119.72 , 5.26165 , 0.789229 , -1.97135 , 0 , C[C@H]1C[C@H]([NH3+])c2cc(S([NH-])(=O)=O)sc2S1(=O)=O
1CIN , 310.419 , 4 , 0.000998184 , 9 , 3 , 2 , 0.2892 , 108.69 , 5.43053 , 0.831978 , -2.02315 , 0 , C[NH2+][C@H]1C[C@H](C)S(=O)(=O)c2sc(S([NH-])(=O)=O)cc21
1CKP , 431.902 , 13 , -1.002 , 10 , 3 , 1 , 2.5965 , 128.02 , 3.49171 , 0.504609 , -4.5077 , 0 , CC(C)[C@@H](CO)Nc1nc(Nc2ccc(C(=O)[O-])c(Cl)c2)c2ncn(C(C)C)c2n1
1CNW , 388.445 , 16 , 0.0019998 , 11 , 6 , 0 , -1.4514 , 162.24 , 3.07839 , 0.373645 , -1.20644 , 0 , [NH-]S(=O)(=O)c1ccc(C(=O)NCCOCCOCCNC(=O)C[NH3+])cc1
1CNX , 331.393 , 13 , -0.00199896 , 9 , 5 , 0 , -0.5676 , 133.14 , 3.13949 , 0.555742 , -1.49448 , 0 , [NH-]S(=O)(=O)c1ccc(C(=O)NCCOCCOCC[NH3+])cc1
1CNY , 478.569 , 18 , -1.04308e-06 , 11 , 6 , 1 , 0.1599 , 162.24 , 3.42658 , 0.330009 , -2.98719 , 0 , [NH-]S(=O)(=O)c1ccc(C(=O)NCCOCCOCCNC(=O)[C@@H]([NH3+])Cc2ccccc2)cc1
1COM , 224.17 , 5 , -2 , 6 , 1 , 0 , -3.0813 , 117.56 , 4.4393 , 0.402564 , 1.05107 , 0 , O=C([O-])C(=O)C[C@]1(C(=O)[O-])C=C[C@@H](O)C=C1
1CPI , 687.837 , 22 , -0.00500071 , 15 , 9 , 7 , -0.771 , 235.28 , 5.90084 , 0.141478 , -3.68008 , 0 , CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C[C@H](O)[C@@H]1Cc2ccc(cc2)OCCCC(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)N[C@H](C(N)=O)C(C)C
1CPS , 239.318 , 8 , -1.001 , 5 , 2 , 1 , 1.964 , 87.73 , 4.01354 , 0.785802 , -2.78765 , 0 , CS([NH-])([NH-])C[C@@H](Cc1ccccc1)C(=O)[O-]
1CTT , 230.221 , 5 , 0.000999898 , 7 , 4 , 4 , -2.0357 , 102.26 , 4.13043 , 0.439417 , 0.22865 , 0 , O=C1NCC=CN1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
1CW2 , 276.25 , 7 , -2.003 , 6 , 1 , 1 , -0.8765 , 106.48 , 4.10692 , 0.538386 , -0.920162 , 0 , O=[S@](CCCC[P]([O-])([O-])[O-])c1ccccc1O
1CX2 , 446.248 , 5 , 0.00100112 , 9 , 2 , 0 , 3.968 , 77.98 , 2.21042 , 0.66129 , -5.63922 , 0 , NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Br)cc2)cc1
1CX9 , 259.266 , 7 , -1.998 , 5 , 2 , 0 , -0.0154 , 95.2 , 3.27986 , 0.336509 , -1.44806 , 0 , Nc1ccccc1SCCCC[P]([O-])([O-])[O-]
1D09 , 251.089 , 7 , -4.001 , 9 , 1 , 1 , -6.7954 , 178.54 , 5.12891 , 0.46102 , 3.63459 , 0 , O=C([O-])C[C@H](NC(=O)C[P]([O-])([O-])[O-])C(=O)[O-]
1D3D , 593.628 , 10 , 1.999 , 5 , 3 , 0 , 4.8634 , 38.34 , 4.21301 , 0.259503 , -7.25221 , 0 , Oc1ccc2c(Cc3ccc(C[NH+]4CCCC4)c(Br)c3)c(-c3ccc(OCC[NH+]4CCCC4)cc3)sc2c1
1D3P , 545.746 , 12 , 1.995 , 7 , 3 , 0 , 3.3747 , 60.46 , 4.24153 , 0.270952 , -5.8242 , 0 , Oc1ccc2c(Cc3ccc(OCC[NH+]4CCCC4)cc3)c(-c3ccc(OCC[NH+]4CCCC4)nc3)sc2c1
1D4P , 361.467 , 7 , 1.001 , 5 , 5 , 0 , 3.01779 , 88.14 , 2.39558 , 0.666837 , -4.3697 , 0 , N[C](N)c1ccc2[nH]c(C(=O)N3CCC(Cc4ccccc4)CC3)cc2c1
1D4Y , 602.674 , 15 , -0.00200006 , 11 , 2 , 2 , 7.3255 , 105.59 , 3.7887 , 0.224333 , -9.13013 , 0 , CCC[C@@]1(CCc2ccccc2)CC(O)=C([C@H](CC)c2cccc(NS(=O)(=O)c3ccc(C(F)(F)F)cn3)c2)C(=O)O1
1D6S , 375.319 , 12 , -3 , 10 , 1 , 1 , -4.89018 , 168.46 , 5.48527 , 0.336414 , 1.41912 , 0 , CSCC[C@H](/[NH+]=C/c1c(CO[P]([O-])([O-])[O-])cnc(C)c1[O-])C(=O)[O-]
1D6W , 527.604 , 9 , 0.00299995 , 13 , 4 , 1 , 0.5442 , 166.87 , 3.72616 , 0.382354 , -3.6193 , 0 , Nc1ncc([C@H]2CC[C@H](NC(=O)[C@@H]3C=CCn4c(=O)n(CCS(=O)(=O)c5ccccc5)c(=O)n43)CC2)[nH]1
1D9I , 476.577 , 9 , 0.998999 , 11 , 4 , 1 , -0.6868 , 139.81 , 3.86287 , 0.502131 , -2.3702 , 0 , [NH3+][C@H]1CC[C@H](CNC(=O)[C@@H]2C=CCn3c(=O)n(CCS(=O)(=O)c4ccccc4)c(=O)n32)CC1
